corps,event_name,date,location,chief_judge,season,total_score,total_rank,color_guard_achievement_judge,color_guard_achievement_rank,color_guard_achievement_score,color_guard_content_judge,color_guard_content_rank,color_guard_content_score,general_effect_1_performance_judge,general_effect_1_performance_rank,general_effect_1_performance_score,general_effect_1_repertoire_judge,general_effect_1_repertoire_rank,general_effect_1_repertoire_score,general_effect_2_performance_judge,general_effect_2_performance_rank,general_effect_2_performance_score,general_effect_2_repertoire_judge,general_effect_2_repertoire_rank,general_effect_2_repertoire_score,music_analysis_achievement_judge,music_analysis_achievement_rank,music_analysis_achievement_score,music_analysis_content_judge,music_analysis_content_rank,music_analysis_content_score,music_brass_achievement_judge,music_brass_achievement_rank,music_brass_achievement_score,music_brass_content_judge,music_brass_content_rank,music_brass_content_score,music_brass_continuity_judge,music_brass_continuity_rank,music_brass_continuity_score,music_percussion_achievement_judge,music_percussion_achievement_rank,music_percussion_achievement_score,music_percussion_content_judge,music_percussion_content_rank,music_percussion_content_score,music_percussion_continuity_judge,music_percussion_continuity_rank,music_percussion_continuity_score,penalties_judge,penalties_rank,penalties_score,special_brass_friday_judge,special_brass_friday_rank,special_brass_friday_score,special_brass_thursday_judge,special_brass_thursday_rank,special_brass_thursday_score,special_cg_friday_judge,special_cg_friday_rank,special_cg_friday_score,special_cg_thursday_judge,special_cg_thursday_rank,special_cg_thursday_score,special_ge_friday_judge,special_ge_friday_rank,special_ge_friday_score,special_ge_thursday_judge,special_ge_thursday_rank,special_ge_thursday_score,special_perc_friday_judge,special_perc_friday_rank,special_perc_friday_score,special_perc_thursday_judge,special_perc_thursday_rank,special_perc_thursday_score,special_visual_proficiency_friday_judge,special_visual_proficiency_friday_rank,special_visual_proficiency_friday_score,special_visual_proficiency_thursday_judge,special_visual_proficiency_thursday_rank,special_visual_proficiency_thursday_score,visual_analysis_achievement_judge,visual_analysis_achievement_rank,visual_analysis_achievement_score,visual_analysis_composition_judge,visual_analysis_composition_rank,visual_analysis_composition_score,visual_proficiency_achievement_judge,visual_proficiency_achievement_rank,visual_proficiency_achievement_score,visual_proficiency_content_judge,visual_proficiency_content_rank,visual_proficiency_content_score,visual_proficiency_continuity_judge,visual_proficiency_continuity_rank,visual_proficiency_continuity_score
Spirit of Atlanta,Music on the Move,2017-07-17,"Bentonville, AR",John Howell,2017,69.55,6,Robert Solomon,6.0,6.8,Robert Solomon,6.0,7.3,John Howell,6.0,6.8,John Howell,5.0,7.1,Paul Hinman,6.0,6.8,Paul Hinman,6.0,7.2,Dave Carbone,6.0,6.7,Dave Carbone,6.0,7,Paul McGarr,6.0,6.6,Paul McGarr,6.0,6.8,,,,Jeff Ausdemore,6.0,6.8,Jeff Ausdemore,6.0,7.1,,,,Scott Speelman,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.6,,6.0,7.3,Hieu Nguyen,6.0,7,Hieu Nguyen,6.0,7.3,,,
The Academy,Music on the Move,2017-07-17,"Bentonville, AR",John Howell,2017,72.2,5,Robert Solomon,5.0,7.1,Robert Solomon,5.0,7.4,John Howell,4.0,7.3,John Howell,5.0,7.1,Paul Hinman,5.0,6.9,Paul Hinman,5.0,7.3,Dave Carbone,5.0,7,Dave Carbone,5.0,7.4,Paul McGarr,4.0,7.2,Paul McGarr,4.0,7.6,,,,Jeff Ausdemore,5.0,7,Jeff Ausdemore,5.0,7.4,,,,Scott Speelman,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.2,,5.0,7.4,Hieu Nguyen,5.0,7.1,Hieu Nguyen,5.0,7.4,,,
Blue Devils,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,86.0,1,Richard Kemp,1.0,8.5,Richard Kemp,1.0,8.7,Ted Wemhoff,1.0,8.5,Ted Wemhoff,1.0,8.7,Randolph Isoda,1.0,8.5,Randolph Isoda,2.0,8.8,Kyle Weirich,2.0,8.5,Kyle Weirich,2.0,8.7,William Woodworth,1.0,8.6,William Woodworth,1.0,8.8,,,,Caleb Rothe,2.0,8.4,Caleb Rothe,2.0,8.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,1.0,8.5,Timothy Ochran,1.0,8.8,Kyle Miller,1.0,8.5,Kyle Miller,2.0,8.4,,,
Blue Knights,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,80.75,3,Richard Kemp,3.0,7.8,Richard Kemp,3.0,7.9,Ted Wemhoff,3.0,7.9,Ted Wemhoff,3.0,8.1,Randolph Isoda,3.0,8.1,Randolph Isoda,3.0,8.5,Kyle Weirich,3.0,7.6,Kyle Weirich,3.0,7.8,William Woodworth,3.0,8.1,William Woodworth,3.0,8.3,,,,Caleb Rothe,3.0,8.2,Caleb Rothe,3.0,8.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,3.0,8,Timothy Ochran,3.0,8.2,Kyle Miller,3.0,8.1,Kyle Miller,3.0,7.9,,,
Bluecoats,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,85.3,2,Richard Kemp,2.0,8.4,Richard Kemp,2.0,8.5,Ted Wemhoff,2.0,8.4,Ted Wemhoff,2.0,8.5,Randolph Isoda,2.0,8.2,Randolph Isoda,1.0,8.9,Kyle Weirich,1.0,8.6,Kyle Weirich,1.0,8.8,William Woodworth,2.0,8.5,William Woodworth,2.0,8.7,,,,Caleb Rothe,1.0,8.6,Caleb Rothe,1.0,8.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,2.0,8.4,Timothy Ochran,2.0,8.7,Kyle Miller,2.0,8.2,Kyle Miller,1.0,8.5,,,
Mandarins,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,75.0,4,Richard Kemp,4.0,7.5,Richard Kemp,4.0,7.7,Ted Wemhoff,4.0,7.4,Ted Wemhoff,4.0,7.7,Randolph Isoda,4.0,7.2,Randolph Isoda,4.0,7.6,Kyle Weirich,4.0,7.2,Kyle Weirich,4.0,7.5,William Woodworth,4.0,7.5,William Woodworth,4.0,7.7,,,,Caleb Rothe,4.0,7.5,Caleb Rothe,4.0,7.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,4.0,7.7,Timothy Ochran,4.0,7.8,Kyle Miller,4.0,6.9,Kyle Miller,4.0,7.5,,,
Oregon Crusaders,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,68.3,6,Richard Kemp,6.0,6.6,Richard Kemp,5.0,7,Ted Wemhoff,6.0,6.5,Ted Wemhoff,5.0,7,Randolph Isoda,5.0,6.5,Randolph Isoda,5.0,7,Kyle Weirich,5.0,6.8,Kyle Weirich,5.0,7,William Woodworth,5.0,7.2,William Woodworth,5.0,7.4,,,,Caleb Rothe,6.0,6.8,Caleb Rothe,6.0,7.1,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,6.0,6.5,Timothy Ochran,6.0,6.9,Kyle Miller,6.0,6.5,Kyle Miller,6.0,6.8,,,
Pacific Crest,Drums Across Kansas,2017-07-17,"El Dorado, KS",Tim Ochran,2017,68.5,5,Richard Kemp,5.0,6.7,Richard Kemp,6.0,6.8,Ted Wemhoff,5.0,6.7,Ted Wemhoff,6.0,6.9,Randolph Isoda,6.0,6.4,Randolph Isoda,6.0,6.7,Kyle Weirich,6.0,6.7,Kyle Weirich,6.0,6.9,William Woodworth,6.0,7.1,William Woodworth,6.0,7.3,,,,Caleb Rothe,5.0,6.9,Caleb Rothe,5.0,7.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Ochran,5.0,7,Timothy Ochran,5.0,7.3,Kyle Miller,5.0,6.8,Kyle Miller,5.0,6.9,,,
Blue Stars,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,77.2,4,Jim Sturgeon,4.0,7.5,Jim Sturgeon,3.0,8.1,CHRIS CHURCH,4.0,7.6,CHRIS CHURCH,4.0,7.8,Troy Hall,4.0,7.4,Troy Hall,4.0,7.7,Darrin Davis,4.0,7.6,Darrin Davis,4.0,7.9,Phillip Haines,3.0,7.9,Phillip Haines,4.0,8,,,,Mike Davis,4.0,7.9,Mike Davis,4.0,7.9,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,4.0,7.3,Frank Miller,4.0,7.7,Chris Moss,3.0,7.7,Chris Moss,3.0,7.9,,,
Colts,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,72.2,5,Jim Sturgeon,5.0,7,Jim Sturgeon,5.0,7.4,CHRIS CHURCH,5.0,7.2,CHRIS CHURCH,5.0,7.4,Troy Hall,5.0,7.1,Troy Hall,5.0,7.3,Darrin Davis,5.0,7.1,Darrin Davis,5.0,7.3,Phillip Haines,5.0,7.1,Phillip Haines,5.0,7.3,,,,Mike Davis,5.0,7.5,Mike Davis,5.0,7.5,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,5.0,6.9,Frank Miller,5.0,7,Chris Moss,5.0,7.1,Chris Moss,5.0,7.2,,,
Genesis,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,66.1,6,Jim Sturgeon,6.0,6.2,Jim Sturgeon,6.0,6.8,CHRIS CHURCH,6.0,6.6,CHRIS CHURCH,6.0,6.9,Troy Hall,6.0,6.5,Troy Hall,6.0,6.8,Darrin Davis,7.0,6.4,Darrin Davis,7.0,6.5,Phillip Haines,7.0,6.5,Phillip Haines,7.0,6.5,,,,Mike Davis,6.0,7.2,Mike Davis,6.0,7.4,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,7.0,6.1,Frank Miller,7.0,6.4,Chris Moss,7.0,6.3,Chris Moss,7.0,6.3,,,
Phantom Regiment,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,79.8,3,Jim Sturgeon,3.0,7.6,Jim Sturgeon,4.0,7.8,CHRIS CHURCH,3.0,8.1,CHRIS CHURCH,3.0,8.3,Troy Hall,3.0,7.9,Troy Hall,3.0,8.1,Darrin Davis,3.0,7.8,Darrin Davis,3.0,8.1,Phillip Haines,4.0,7.8,Phillip Haines,2.0,8.3,,,,Mike Davis,3.0,8,Mike Davis,3.0,8.2,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,3.0,7.8,Frank Miller,3.0,8,Chris Moss,4.0,7.6,Chris Moss,4.0,7.8,,,
Santa Clara Vanguard,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,86.3,1,Jim Sturgeon,1.0,8.3,Jim Sturgeon,1.0,8.8,CHRIS CHURCH,1.0,8.7,CHRIS CHURCH,1.0,8.9,Troy Hall,1.0,8.6,Troy Hall,1.0,8.7,Darrin Davis,1.0,8.4,Darrin Davis,1.0,8.7,Phillip Haines,1.0,8.5,Phillip Haines,1.0,8.7,,,,Mike Davis,1.0,8.6,Mike Davis,1.0,8.7,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,1.0,8.4,Frank Miller,1.0,8.6,Chris Moss,1.0,8.4,Chris Moss,1.0,8.7,,,
Seattle Cascades,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,65.8,7,Jim Sturgeon,7.0,6.1,Jim Sturgeon,7.0,6.4,CHRIS CHURCH,7.0,6.5,CHRIS CHURCH,7.0,6.7,Troy Hall,7.0,6.3,Troy Hall,7.0,6.5,Darrin Davis,6.0,6.5,Darrin Davis,6.0,6.7,Phillip Haines,6.0,6.6,Phillip Haines,6.0,7,,,,Mike Davis,7.0,7,Mike Davis,7.0,7.3,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,6.0,6.4,Frank Miller,6.0,6.7,Chris Moss,6.0,6.4,Chris Moss,6.0,6.5,,,
The Cadets,Brass Impact,2017-07-17,"Olathe, KS",Jim Sturgeon,2017,82.95,2,Jim Sturgeon,2.0,8,Jim Sturgeon,2.0,8.4,CHRIS CHURCH,2.0,8.4,CHRIS CHURCH,2.0,8.6,Troy Hall,2.0,8.3,Troy Hall,2.0,8.4,Darrin Davis,2.0,8.1,Darrin Davis,2.0,8.4,Phillip Haines,2.0,8.1,Phillip Haines,3.0,8.2,,,,Mike Davis,2.0,8.3,Mike Davis,2.0,8.3,,,,Brandt Crocker,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Miller,2.0,8.1,Frank Miller,2.0,8.3,Chris Moss,2.0,8,Chris Moss,2.0,8.3,,,
Blue Stars,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,76.95,5,Hieu Nguyen,4.0,7.9,Hieu Nguyen,3.0,8.3,Blair Kuhn,6.0,7.4,Blair Kuhn,6.0,7.6,Glenn Fugett,5.0,7.7,Glenn Fugett,5.0,7.8,Caleb Rothe,5.0,7.5,Caleb Rothe,5.0,7.7,Dennis Argul,6.0,7.6,Dennis Argul,6.0,7.9,,,,Chris Romanowski,5.0,7.6,Chris Romanowski,5.0,7.8,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,5.0,7.7,Richard Kemp,6.0,7.5,Sal Adamo,5.0,7.6,Sal Adamo,5.0,7.8,,,
Colts,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,71.55,8,Hieu Nguyen,7.0,7.3,Hieu Nguyen,7.0,7.6,Blair Kuhn,8.0,7,Blair Kuhn,8.0,7.1,Glenn Fugett,8.0,7,Glenn Fugett,8.0,7.4,Caleb Rothe,8.0,6.9,Caleb Rothe,8.0,7.1,Dennis Argul,8.0,7,Dennis Argul,8.0,7.2,,,,Chris Romanowski,7.0,7.1,Chris Romanowski,8.0,7.3,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,7.0,7,Richard Kemp,7.0,7.2,Sal Adamo,7.0,7,Sal Adamo,7.0,7.4,,,
Crossmen,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,76.5,6,Hieu Nguyen,6.0,7.7,Hieu Nguyen,6.0,8,Blair Kuhn,5.0,7.6,Blair Kuhn,5.0,7.7,Glenn Fugett,6.0,7.6,Glenn Fugett,6.0,7.7,Caleb Rothe,6.0,7.3,Caleb Rothe,6.0,7.6,Dennis Argul,5.0,7.8,Dennis Argul,5.0,8,,,,Chris Romanowski,6.0,7.3,Chris Romanowski,6.0,7.6,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,6.0,7.6,Richard Kemp,5.0,7.7,Sal Adamo,6.0,7.5,Sal Adamo,6.0,7.7,,,
Phantom Regiment,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,78.85,4,Hieu Nguyen,5.0,7.8,Hieu Nguyen,5.0,8.1,Blair Kuhn,4.0,7.7,Blair Kuhn,4.0,7.9,Glenn Fugett,4.0,7.8,Glenn Fugett,4.0,7.9,Caleb Rothe,4.0,7.7,Caleb Rothe,4.0,8,Dennis Argul,4.0,7.9,Dennis Argul,4.0,8.2,,,,Chris Romanowski,4.0,7.9,Chris Romanowski,4.0,8,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,4.0,7.8,Richard Kemp,4.0,8,Sal Adamo,4.0,7.7,Sal Adamo,4.0,8,,,
Santa Clara Vanguard,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,84.85,1,Hieu Nguyen,1.0,8.5,Hieu Nguyen,1.0,8.6,Blair Kuhn,1.0,8.4,Blair Kuhn,1.0,8.7,Glenn Fugett,1.0,8.4,Glenn Fugett,1.0,8.5,Caleb Rothe,1.0,8.3,Caleb Rothe,1.0,8.5,Dennis Argul,1.0,8.4,Dennis Argul,1.0,8.6,,,,Chris Romanowski,1.0,8.4,Chris Romanowski,1.0,8.6,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,1.0,8.4,Richard Kemp,1.0,8.5,Sal Adamo,1.0,8.3,Sal Adamo,1.0,8.6,,,
The Academy,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,72.0,7,Hieu Nguyen,8.0,7,Hieu Nguyen,8.0,7.4,Blair Kuhn,7.0,7.2,Blair Kuhn,7.0,7.3,Glenn Fugett,7.0,7.2,Glenn Fugett,7.0,7.5,Caleb Rothe,7.0,7,Caleb Rothe,7.0,7.3,Dennis Argul,7.0,7.2,Dennis Argul,7.0,7.4,,,,Chris Romanowski,8.0,7,Chris Romanowski,7.0,7.5,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,8.0,6.8,Richard Kemp,8.0,7,Sal Adamo,8.0,6.7,Sal Adamo,8.0,7.3,,,
The Cadets,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,81.05,3,Hieu Nguyen,3.0,8.2,Hieu Nguyen,4.0,8.2,Blair Kuhn,3.0,8.1,Blair Kuhn,3.0,8.3,Glenn Fugett,3.0,7.9,Glenn Fugett,3.0,8.2,Caleb Rothe,3.0,7.8,Caleb Rothe,3.0,8.1,Dennis Argul,3.0,8,Dennis Argul,3.0,8.3,,,,Chris Romanowski,3.0,8.1,Chris Romanowski,3.0,8.1,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,3.0,8,Richard Kemp,3.0,8.1,Sal Adamo,3.0,7.9,Sal Adamo,3.0,8.3,,,
The Cavaliers,Tour of Champions - Northern Illinois,2017-07-15,"DeKalb, IL",Rich Kemp,2017,83.2,2,Hieu Nguyen,2.0,8.3,Hieu Nguyen,2.0,8.5,Blair Kuhn,2.0,8.3,Blair Kuhn,2.0,8.5,Glenn Fugett,2.0,8.2,Glenn Fugett,2.0,8.4,Caleb Rothe,2.0,8,Caleb Rothe,2.0,8.3,Dennis Argul,2.0,8.2,Dennis Argul,2.0,8.4,,,,Chris Romanowski,2.0,8.2,Chris Romanowski,2.0,8.5,,,,Jill Moyer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kemp,2.0,8.3,Richard Kemp,2.0,8.4,Sal Adamo,2.0,8.1,Sal Adamo,2.0,8.4,,,
Blue Devils,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,85.0,1,Chris Raichle,1.0,8.2,Chris Raichle,1.0,8.6,John Howell,1.0,8.4,John Howell,1.0,8.6,Nola Jones,1.0,8.4,Nola Jones,1.0,8.6,Al Dunn,1.0,8.3,Al Dunn,1.0,8.6,Mike Rubino,1.0,8.4,Mike Rubino,1.0,8.6,,,,Peter Furnari,2.0,8.4,Peter Furnari,2.0,8.5,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,1.0,8.6,Ken Giese,1.0,8.7,William Chumley,1.0,8.5,William Chumley,1.0,8.6,,,
Blue Knights,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,79.1,3,Chris Raichle,3.0,7.5,Chris Raichle,3.0,7.8,John Howell,3.0,7.8,John Howell,3.0,7.9,Nola Jones,3.0,7.7,Nola Jones,3.0,8,Al Dunn,3.0,7.7,Al Dunn,3.0,8,Mike Rubino,3.0,8,Mike Rubino,3.0,8.2,,,,Peter Furnari,3.0,8,Peter Furnari,3.0,8.2,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,3.0,8,Ken Giese,3.0,8.2,William Chumley,3.0,7.9,William Chumley,3.0,7.9,,,
Bluecoats,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,83.85,2,Chris Raichle,2.0,8.1,Chris Raichle,2.0,8.4,John Howell,2.0,8.3,John Howell,2.0,8.5,Nola Jones,2.0,8.2,Nola Jones,2.0,8.5,Al Dunn,2.0,8.2,Al Dunn,2.0,8.5,Mike Rubino,2.0,8.2,Mike Rubino,2.0,8.4,,,,Peter Furnari,1.0,8.5,Peter Furnari,1.0,8.6,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,2.0,8.5,Ken Giese,2.0,8.6,William Chumley,2.0,8.3,William Chumley,2.0,8.4,,,
Mandarins,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,74.55,4,Chris Raichle,4.0,7.3,Chris Raichle,4.0,7.6,John Howell,4.0,7.3,John Howell,4.0,7.7,Nola Jones,4.0,7.3,Nola Jones,4.0,7.5,Al Dunn,4.0,7.3,Al Dunn,4.0,7.7,Mike Rubino,4.0,7.4,Mike Rubino,4.0,7.6,,,,Peter Furnari,5.0,7.2,Peter Furnari,4.0,7.6,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,4.0,7.4,Ken Giese,4.0,7.6,William Chumley,4.0,7.2,William Chumley,4.0,7.6,,,
Oregon Crusaders,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,68.8,7,Chris Raichle,5.0,6.6,Chris Raichle,5.0,7,John Howell,7.0,6.6,John Howell,7.0,6.9,Nola Jones,7.0,6.4,Nola Jones,6.0,7.1,Al Dunn,6.0,7,Al Dunn,6.0,7.3,Mike Rubino,6.0,7.1,Mike Rubino,6.0,7.3,,,,Peter Furnari,4.0,7.3,Peter Furnari,5.0,7.3,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,8.0,6.5,Ken Giese,8.0,6.7,William Chumley,8.0,6.4,William Chumley,6.0,7.1,,,
Pacific Crest,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,69.0,6,Chris Raichle,6.0,6.5,Chris Raichle,6.0,6.9,John Howell,6.0,6.8,John Howell,6.0,7,Nola Jones,5.0,6.8,Nola Jones,7.0,7,Al Dunn,7.0,6.8,Al Dunn,7.0,7.1,Mike Rubino,7.0,7,Mike Rubino,7.0,7.2,,,,Peter Furnari,7.0,6.6,Peter Furnari,6.0,7,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,6.0,6.8,Ken Giese,6.0,7,William Chumley,6.0,6.9,William Chumley,7.0,7,,,
Seattle Cascades,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,65.9,8,Chris Raichle,8.0,6.3,Chris Raichle,8.0,6.6,John Howell,8.0,6.4,John Howell,8.0,6.7,Nola Jones,8.0,6.2,Nola Jones,8.0,6.5,Al Dunn,8.0,6.6,Al Dunn,8.0,7,Mike Rubino,8.0,6.7,Mike Rubino,8.0,7.1,,,,Peter Furnari,8.0,6.4,Peter Furnari,8.0,6.7,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,7.0,6.6,Ken Giese,7.0,6.8,William Chumley,7.0,6.5,William Chumley,8.0,6.9,,,
Troopers,Drums Along the Rockies,2017-07-15,"Denver, CO",Nola Jones,2017,70.25,5,Chris Raichle,7.0,6.4,Chris Raichle,7.0,6.8,John Howell,5.0,6.9,John Howell,5.0,7.1,Nola Jones,6.0,6.7,Nola Jones,5.0,7.3,Al Dunn,5.0,7.1,Al Dunn,5.0,7.4,Mike Rubino,5.0,7.2,Mike Rubino,5.0,7.4,,,,Peter Furnari,6.0,6.8,Peter Furnari,7.0,6.9,,,,Tom Hope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ken Giese,5.0,7,Ken Giese,5.0,7.1,William Chumley,5.0,7,William Chumley,5.0,7.4,,,
Boston Crusaders,DCI Northern Kentucky presented by Lone Star Percussion,2017-07-15,"Alexandria, KY",Michael Turner,2017,81.95,2,Michael Stone,2.0,8.1,Michael Stone,1.0,8.5,Jim Sturgeon,2.0,8.2,Jim Sturgeon,1.0,8.5,Chris Hestin,2.0,8,Chris Hestin,2.0,8.2,George Boulden,2.0,8.2,George Boulden,2.0,8.5,Steven Page,2.0,7.7,Steven Page,2.0,8.1,,,,Mike Leitzke,2.0,8,Mike Leitzke,2.0,8.2,,,,Rennee Flynn,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Thomas,2.0,8.1,Bob Thomas,2.0,8.3,Michael Turner,2.0,8.1,Michael Turner,2.0,8.3,,,
Carolina Crown,DCI Northern Kentucky presented by Lone Star Percussion,2017-07-15,"Alexandria, KY",Michael Turner,2017,84.1,1,Michael Stone,1.0,8.2,Michael Stone,2.0,8.2,Jim Sturgeon,1.0,8.4,Jim Sturgeon,2.0,8.4,Chris Hestin,1.0,8.4,Chris Hestin,1.0,8.5,George Boulden,1.0,8.4,George Boulden,1.0,8.7,Steven Page,1.0,8.4,Steven Page,1.0,8.8,,,,Mike Leitzke,1.0,8.1,Mike Leitzke,1.0,8.4,,,,Rennee Flynn,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Thomas,1.0,8.2,Bob Thomas,1.0,8.4,Michael Turner,1.0,8.4,Michael Turner,1.0,8.6,,,
Jersey Surf,DCI Northern Kentucky presented by Lone Star Percussion,2017-07-15,"Alexandria, KY",Michael Turner,2017,60.75,5,Michael Stone,5.0,6,Michael Stone,5.0,6.5,Jim Sturgeon,5.0,6,Jim Sturgeon,5.0,6.4,Chris Hestin,5.0,6.1,Chris Hestin,5.0,6.3,George Boulden,5.0,5.9,George Boulden,5.0,6.2,Steven Page,5.0,6,Steven Page,5.0,6.2,,,,Mike Leitzke,5.0,5.8,Mike Leitzke,5.0,6.1,,,,Rennee Flynn,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Thomas,5.0,5.4,Bob Thomas,5.0,6.3,Michael Turner,5.0,5.4,Michael Turner,5.0,6.1,,,
Madison Scouts,DCI Northern Kentucky presented by Lone Star Percussion,2017-07-15,"Alexandria, KY",Michael Turner,2017,76.4,3,Michael Stone,3.0,7.5,Michael Stone,3.0,7.9,Jim Sturgeon,3.0,7.8,Jim Sturgeon,3.0,8.1,Chris Hestin,3.0,7.3,Chris Hestin,3.0,7.5,George Boulden,3.0,7.8,George Boulden,3.0,8.2,Steven Page,3.0,7.2,Steven Page,3.0,7.7,,,,Mike Leitzke,3.0,7.2,Mike Leitzke,3.0,7.5,,,,Rennee Flynn,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Thomas,3.0,7.5,Bob Thomas,3.0,7.8,Michael Turner,3.0,7.4,Michael Turner,3.0,7.7,,,
